identifier	prefLabel	altLabel	description	historyNote
homoit0000541	Hommes gais survivants de viol	Hommes gays ayant survécu au viol||Homosexuels ayant survécu au viol||Hommes gais ayant survécu au viol||Homosexuels survivants de viol||Hommes gays survivants de viol	Hommes gais qui ont été victimes de viol et qui ont survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000552	Hommes gais victimes de viol	Hommes gays victimes de viol||Homosexuels victimes de viol	Hommes gais qui ont été victimes de viol et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000590	Filles		Enfants ou jeunes, généralement âgées de moins de 18 ans et qui s'identifient comme des filles.	
homoit0000668	Enfants intersexes		Personnes intersexes qui n'ont pas encore atteint l'adolescence.	
homoit0001759	Familles intersexes	Familles de personnes intersexes	Familles biologiques, adoptives ou choisies, dans lesquelles une ou plusieurs personnes s'identifient comme intersexes.	
homoit0000713	Activisme lesbien		Action directe et mobilisation visant à obtenir des changements politiques ou sociaux et à faire accepter les personnes lesbiennes.	
homoit0000719	Archives lesbiennes		Collections d'archives et de documents relatifs aux personnes lesbiennes ou aux communautés lesbiennes; peut inclure une variété d'organisations et d'institutions, des archives communautaires aux archives gouvernementales.	
homoit0000733	Communauté lesbienne		Groupes de personnes qui partagent l'expérience d'être lesbiennes.	
homoit0000740	Familles lesbiennes		Familles biologiques, adoptives ou choisies, dans lesquelles une ou plusieurs personnes s'identifient comme lesbiennes.	
homoit0000793	Lesbiennes victimes de viol		Personnes lesbiennes qui ont été victimes de viol et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000006	Activisme LGBTQ+	Militantisme LGBTQ+	Action directe et mobilisation visant à obtenir des changements politiques ou sociaux et à faire accepter les personnes LGBTQ+.	
homoit0000066	Archives LGBTQ+		Collections d'archives et de documents relatifs aux personnes LGBTQ+ ou aux communautés LGBTQ+; peut inclure une variété d'organisations et d'institutions, des archives communautaires aux archives gouvernementales.	
homoit0000256	Enfants LGBTQ+		Personnes LGBTQ+ qui n'ont pas encore atteint l'adolescence.	
homoit0000420	Familles LGBTQ+	Familles de personnes LGBTQ+	Familles biologiques, adoptives ou choisies, dans lesquelles une ou plusieurs personnes s'identifient comme LGBTQ+.	
homoit0001350	Personnes LGBTQ+ survivantes de viol		Personnes LGBTQ+ qui ont été victimes de viol et qui ont survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000958	Personnes LGBTQ+ victimes de viol		Personnes LGBTQ+ qui ont été victimes de viol et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001150	Activisme queer	Militantisme queer	Action directe et mobilisation visant à obtenir des changements politiques ou sociaux et à faire accepter les personnes queers.	
homoit0001156	Archives queers		Collections d'archives et de documents relatifs aux personnes queers ou aux communautés queers; peut inclure une variété d'organisations et d'institutions, des archives communautaires aux archives gouvernementales.	
homoit0001167	Enfants queers		Personnes queers qui n'ont pas encore atteint l'adolescence.	
homoit0001170	Communauté queer		Groupes de personnes qui partagent l'expérience d'être queer.	
homoit0001176	Familles queers		Familles de personnes queers	Familles biologiques, adoptives ou choisies, dans lesquelles une ou plusieurs personnes s'identifient comme queer.
homoit0001212	Personnes queers survivantes de viol		Personnes queers qui ont été victimes de viol et qui ont survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001222	Personnes queers victimes de viol		Personnes queers qui ont été victimes de viol et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001383	Activisme trans	Militantisme transgenre||Militantisme trans||Activisme transgenre	Action directe et mobilisation visant à obtenir des changements politiques ou sociaux et à faire accepter les personnes trans.	
homoit0001389	Archives trans		Collections d'archives et de documents relatifs aux personnes trans ou aux communautés trans; peut inclure une variété d'organisations et d'institutions, des archives communautaires aux archives gouvernementales.	
homoit0001400	Enfants trans	Enfants transgenres	Personnes trans qui n'ont pas encore atteint l'adolescence.	
homoit0001403	Communauté trans		Groupes de personnes qui partagent l'expérience d'être trans.	
homoit0001412	Familles trans		Familles biologiques, adoptives ou choisies, dans lesquelles une ou plusieurs personnes s'identifient comme trans.	
homoit0001449	Personnes trans survivantes de viol		Personnes trans qui ont été victimes de viol et qui ont survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001457	Personnes trans victimes de viol		Personnes trans qui ont été victimes de viol et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001811	Communauté bispirituelle		Groupe de personnes qui partagent l'expérience d'être bispirituelles.	
homoit0001760	Familles bispirituelles	Familles de personnes bispirituelles	Familles biologiques, adoptives ou choisies, dans lesquelles une ou plusieurs personnes s'identifient comme bispirituelles.	
homoit0002004	Personnes asexuelles survivantes d'intimidation	Personnes asexuelles survivantes d'intimidation	Personnes asexuelles qui ont subi et survécu à de l'intimidation parce qu'elles sont asexuelles; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000152	Filles bisexuelles		Filles (enfants de moins de 18 ans) qui sont bisexuelles.	
homoit0002001	Personnes bisexuelles survivantes d'intimidation		Personnes bisexuelles qui ont subi et survécu à de l'intimidation parce qu'elles sont bisexuelles; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000198	Personnes bisexuelles victimes d'abus sexuels	Personnes bisexuelles victimes de violences sexuelles||Personnes bisexuelles victimes d'agressions sexuelles	Personnes bisexuelles ayant vécu de l'abus sexuel et qui peuvent ou non y avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0002005	Personnes intersexes survivantes d'intimidation		Personnes intersexes qui ont subi et survécu à de l'intimidation parce qu'elles sont intersexes; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001999	Lesbiennes survivantes d'intimidation		Lesbiennes qui ont subi et survécu à de l'intimidation parce qu'elles sont lesbiennes; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001998	Personnes LGBTQ+ survivantes d'intimidation		Personnes LGBTQ+ qui ont subi et survécu à de l'intimidation en raison de leurs identités sexuelles ou de genres; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001052	Nu artistique	Art du nu||Nu||Art nu	Genre artistique qui consiste en la représentation de personnes nues, à des fins esthétiques ou érotiques comprend les peintures, les photographies, les sculptures, etc.	
homoit0001051	Photographies de nu	Photographies de personnes nues	Photographies de personnes nues prises par des photographes professionnel·le·s ou amateur·trice·s réalisées à des fins esthétiques ou érotiques.	
homoit0000010	Parents adoptifs	Adoptants et adoptantes||Famille d'adoption||Famille adoptante||Parents d'adoption||Parents par adoption	Un ou des membres adultes d'une famille adoptante responsables de l'adopté·e.	
homoit0000020	Âge de consentement	Âge du consentement||Majorité sexuelle	Âge auquel une personne peut légalement donner son consentement à des activités sexuelles.	
				
homoit0000040	Amazones		Peuple légendaire de femmes guerrières et indépendantes qui vivaient sans hommes dans la mythologie grecque et l'antiquité classique; depuis le début de la période moderne, leur nom est devenu un terme désignant les femmes douées de qualités guerrières ainsi qu'un symbole culturel invoqué dans les communautés lesbiennes.	
homoit0001995	Personnes asexuelles victimes d'intimidation		Personnes asexuelles qui ont subi et survécu à de l'intimidation parce qu'elles sont asexuelles; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000117	Biphobie		Antagonisme ou dégoût à l'égard de la bisexualité en tant qu'identité ou des personnes bisexuelles en raison de leur sexualité. La biphobie peut inclure le déni de l'existence de la bisexualité, les stéréotypes, le harcèlement et la violence physique.	
homoit0000185	Argot bisexuel		Langage familier ou informel lié à la bisexualité ou utilisé par les personnes bisexuelles.	
homoit0000186	Fils bisexuels		Fils qui s'identifient comme bisexuels.	
homoit0000188	Personnes bisexuelles survivantes de crimes haineux		Personnes bisexuelles qui ont été victimes de crimes haineux et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000190	Personnes bisexuelles survivantes d'abus sexuels	Personnes bisexuelles survivantes de violences sexuelles||Personnes bisexuelles survivantes d'agressions sexuelles	Personnes bisexuelles ayant vécu de l'abus sexuel et qui ont survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000191	Personnes bisexuelles survivantes de guerre		Personnes bisexuelles ayant vécu et survécu à la guerre; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001992	Personnes bisexuelles victimes d'intimidation			Personnes bisexuelles qui ont subi et survécu à de l'intimidation parce qu'elles sont bisexuelles; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.
homoit0000196	Personnes bisexuelles victimes de crimes haineux		Personnes bisexuelles qui ont été victimes de crimes haineux et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000199	Personnes bisexuelles victimes de guerre		Personnes bisexuelles ayant vécu la guerre et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000342	Personnes demigenre		Personnes qui s'identifient partiellement, mais pas totalement, à un genre donné.	
homoit0000346	Digues dentaires		Feuille carrée de latex ou de polyuréthane utilisée pour créer une barrière entre la bouche et la vulve, le vagin ou l'anus pendant les rapports sexuels oraux.	
homoit0000347	Désir d'avoir des enfants		Volonté ou désir d'une personne d'avoir des enfants.	
homoit0000423	Pères		Personnes qui sont pères.	
homoit0000424	Pères de personnes bisexuelles		Personnes qui jouent le rôle de père auprès d'une personne bisexuelle; à utiliser seulement pour les personnes qui s'identifient comme pères.	
homoit0000425	Pères d'hommes gais		Personnes qui jouent le rôle de père auprès d'un homme gai; à utiliser uniquement pour décrire les personnes qui s'identifient comme des pères.	
homoit0000426	Pères de personnes lesbiennes		Personnes qui jouent le rôle de père auprès de personnes lesbiennes; à utiliser uniquement pour décrire les personnes qui s'identifient comme des pères.	
homoit0000427	Pères de personnes queers		Personnes qui jouent le rôle de père auprès d'une personne queer; à utiliser uniquement pour décrire les personnes qui s'identifient comme des pères.	
homoit0000428	Pères de personnes trans		Personnes qui jouent le rôle de père auprès d'une personne trans; à utiliser uniquement pour décrire les personnes qui s'identifient comme des pères.	
homoit0000536	Fils gais	Fils gays||Fils homosexuels	Fils qui s'identifient comme gais.	
homoit0002000	Hommes gais survivants d'intimidation	Hommes gays survivants d'intimidation||Hommes gays ayant survécu à l'intimidation||Homosexuels ayant survécu à l'intimidation||Homosexuels survivants d'intimidation||Hommes gais survivants d'intimidation	Hommes gais qui ont subi et survécu à de l'intimidation parce qu'ils sont gais; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000540	Hommes gais survivants de crimes haineux	Hommes gays survivants de crimes haineux||Homosexuels survivants de crimes haineux	Hommes gais qui ont été victimes de crimes haineux et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivants » dans la mesure du possible.	
homoit0000542	Hommes gais survivants d'abus sexuels	Hommes gays survivants d'abus sexuels||Homosexuels survivants d'abus sexuels||Hommes gays survivants de violences sexuelles||Hommes gays survivants d'agressions sexuelles||Homosexuels survivants de violences sexuelles||Homosexuels survivants d'agressions sexuelles	Hommes gais ayant vécu de l'abus sexuel et qui ont survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000543	Hommes gais survivants de guerre	Hommes gays survivants de guerre||Homosexuels survivants de guerre	Hommes gais ayant vécu et survécu à la guerre; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001991	Hommes gais victimes d'intimidation	Hommes gays victimes d'intimidation||Homosexuels victimes d'intimidation	Hommes gais qui ont subi et survécu à de l'intimidation parce qu'ils sont gais; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000551	Hommes gais victimes de crimes haineux	Hommes gays victimes de crimes haineux||Homosexuels victimes de crimes haineux	Hommes gais qui ont été victimes de crimes haineux et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000550	Hommes gais victimes d'abus sexuels	Hommes gays victimes d'abus sexuels||Homosexuels victimes d'abus sexuels||Hommes gais victimes de violences sexuelles||Hommes gais victimes d'agressions sexuelles||Hommes gays victimes de violences sexuelles||Hommes gays victimes d'agressions sexuelles||Homosexuels victimes de violences sexuelles||Homosexuels victimes d'agressions sexuelles	Hommes gais ayant vécu de l'abus sexuel et qui peuvent ou non y avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000553	Hommes gais victimes de guerre	Hommes gays victimes de guerre||Homosexuels victimes de guerre	Hommes gais ayant vécu la guerre et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000623	Filles hétérosexuelles		Filles (enfants ou des jeunes de moins de 18 ans) qui sont hétérosexuelles.	
homoit0001996	Personnes intersexes victimes d'intimidation		Personnes intersexes qui ont subi et survécu à de l'intimidation parce qu'elles sont intersexes; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000736	Filles lesbiennes		Filles (lien de parenté) qui s'identifient comme lesbiennes.	
homoit0000743	Filles lesbiennes		Filles (enfants de moins de 18 ans) qui sont lesbiennes.	
homoit0000782	Lesbiennes survivantes de crimes haineux		Lesbiennes qui ont été victimes de crimes haineux et qui ont survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000784	Lesbiennes survivantes d'abus sexuels	Lesbiennes survivantes de violences sexuelles||Lesbiennes survivantes d'agressions sexuelles	Lesbiennes ayant vécu de l'abus sexuel et qui ont survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000785	Lesbiennes survivantes de guerre		Lesbiennes ayant vécu et survécu à la guerre; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001990	Lesbiennes victimes d'intimidation		Lesbiennes qui ont subi et survécu à de l'intimidation parce qu'elles sont lesbiennes; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000792	Lesbiennes victimes de crimes haineux		Lesbiennes qui ont été victimes de crimes haineux et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000794	Lesbiennes victimes d'abus sexuels	Lesbiennes victimes de violences sexuelles||Lesbiennes victimes d'agressions sexuelles	Lesbiennes ayant vécu de l'abus sexuel et qui peuvent ou non y avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000795	Lesbiennes victimes de guerre		Lesbiennes ayant vécu la guerre et qui peuvent ou non avoir survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0000330	Filles LGBTQ+		Filles (lien de parenté) qui s'identifient comme LGBTQ+.	
homoit0001329	Fils LGBTQ+		Fils qui s'identifient comme LGBTQ+.	
homoit0001349	Personnes LGBTQ+ survivantes de crimes haineux		Personnes LGBTQ+ qui ont été victimes de crimes haineux et qui ont survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001351	Personnes LGBTQ+ survivantes d'abus sexuels	Personnes LGBTQ+ survivantes de violences sexuelles||Personnes LGBTQ+ survivantes d'agressions sexuelles	Personnes LGBTQ+ ayant vécu de l'abus sexuel et qui ont survécu; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001352	Personnes LGBTQ+ survivantes de guerre		Personnes LGBTQ+ ayant vécu et survécu à la guerre; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
homoit0001989	Personnes LGBTQ+ victimes d'intimidation		Personnes LGBT+ qui ont subi et survécu à de l'intimidation en raison de leur identité sexuelle ou de genre; respecter la préférence de la personne concernée entre les termes « victimes » ou « survivantes » dans la mesure du possible.	
