identifier	prefLabel	altLabel	description	historyNote
homoit0001978	Australisch-aboriginale queere Personen	Aboriginal queer Personen||Queere Aboriginal Australische Personen||Queer Aboriginal Australier:innen	Queere Personen, die einem oder mehreren der verschiedenen indigenen Völker Australiens angehören; nicht für die indigene Bevölkerung der Torres-Strait-Inseln verwenden, die als ethnisch und kulturell verschieden betrachtet wird. Nur zur Beschreibung von Personen verwenden, die sich als australische Ureinwohner identifizieren.	
homoit0001977	Australisch-aboriginale transgender Personen	Aboriginal transgender Personen||Queere Aboriginal Australische Personen||Queer Aboriginal Australier:innen	Transgender Personen, die einem oder mehreren der verschiedenen indigenen Völker Australiens angehören; nicht für die indigene Bevölkerung der Torres-Strait-Inseln verwenden, die als ethnisch und kulturell verschieden betrachtet wird. Nur zur Beschreibung von Personen verwenden, die sich als australische Ureinwohner identifizieren.	
homoit0003365	Schwangerschaftsabbruch	Abtreibung||Schwangerschaftsunterbrechung	Die vorzeitige Beendigung einer Schwangerschaft.	
homoit0003366	Zugang zu Schwangerschaftsabbrüchen für LGBTQ+ Menschen		Der Begriff wird verwendet, um die verschiedenen Aspekte zu beschreiben, die bestimmen, ob Abtreibungen für LGBTQ+ Menschen an einem bestimmten Ort zugänglich sind. Zu den Faktoren, die die Zugänglichkeit bestimmen, gehören Legalität, Sicherheit, Privatsphäre, finanzielle Kosten, Reisefreiheit usw.	
homoit0000003	Acault		Ein häufig falsch übersetzter burmesischer Begriff für Menschen, die bei der Geburt als männlich eingestuft werden und weibliche Verhaltensweisen zeigen, während sie als spirituelle Medien dienen; die Legitimität des Begriffs ist fraglich.	
homoit0002142	Schauspieler:innen-Fanfiction	Actorfic||Schauspieler-Fanfiction	Fanfiction, die sich auf die Beziehungen von realen Schauspielern, oft desselben Geschlechts, konzentriert, diese einbezieht oder detailliert beschreibt.	
homoit0002336	Adoptierte LGBTQ+ Personen	Adoptierte Personen (LGBTQ)||LGBTQ+ adoptiere Personen	LGBTQ+ Menschen, die adoptiert wurden, ob von LGBTQ+ Eltern oder nicht.	
homoit0000009	Adoptivelternschaft		Die Erfahrung, ein Adoptivelternteil für ein Kind oder mehrere Kinder zu sein. Ein Adoptivelternteil ist die Person oder die Personen, die durch eine Adoption zu dauerhaften Eltern werden, mit allen damit verbundenen Pflichten.	
homoit0000010	Adoptiveltern			
homoit0001673	Ae/Aer/Aerself (Pronomen)	Ae (Pronomen)||Ae/Aer/Aerself	Eine Gruppe von Pronomen. Wird auf diese Weise verwendet: Ae besuchte die Homosaurus-Website. Ich beobachtete Aer beim Stöbern auf der Homosaurus-Website. Ae benutzt den Homosaurus aerself.	
