identifier	prefLabel	altLabel	description	historyNote
homoit0003293	Sydamerikanska urfolk (hbtq+)		Personer som tillhör urfolk i Sydamerika och identifierar sig som hbtq+. Använd mer specifika termer när det är möjligt.	
homoit0003294	Asexuella personer från sydamerikanska urfolk		Personer som tillhör urfolk i Sydamerika och identifierar sig som asexuella.	
homoit0003295	Bisexuella personer från sydamerikanska urfolk		Personer som tillhör urfolk i Sydamerika och identifierar sig som bisexuella.	
homoit0003296	Bögar från sydamerikanska urfolk		Män som tillhör urfolk i Sydamerika och identifierar sig som homosexuella.	
homoit0003297	Intersexpersoner från sydamerikanska urfolk		Personer som tillhör urfolk i Sydamerika och identifierar sig som intersexpersoner.	
homoit0003298	Lesbiska från sydamerikanska urfolk		Personer som tillhör urfolk i Sydamerika och identifierar sig som lesbiska.	
homoit0003299	Queera personer från sydamerikanska urfolk		Personer som tillhör urfolk i Sydamerika och identifierar sig som queera.	
homoit0003300	Ickebinära från sydamerikanska urfolk		Personer som tillhör urfolk i Sydamerika och identifierar sig som ickebinära.	
homoit0003301	Transpersoner från sydamerikanska urfolk		Personer som tillhör urfolk i Sydamerika och identifierar sig som transpersoner.	
homoit0003302	Demisexuella personer från sydamerikanska urfolk		Personer som tillhör urfolk i Sydamerika och identifierar sig som demisexuella.	
homoit0003303	Megasexuella från sydamerikanska urfolk		Personer som tillhör urfolk i Sydamerika och identifierar sig som megasexuella.	
homoit0003304	Gråromantiska personer från sydamerikanska urfolk	Greyromantic-personer från sydamerikanska urfolk	Personer som tillhör urfolk i Sydamerika och identifierar sig som gråromantiska.	
homoit0003305	Aromantiska personer från sydamerikanska urfolk		Personer som tillhör urfolk i Sydamerika och identifierar sig som aromantiska.	
homoit0003306	Belarusiska hbtq+-personer		Hbtq+-personer med belarusisk etnicitet eller nationalitet.	
homoit0003307	Asexuella belarusier		Asexuella personer med belarusisk etnicitet eller nationalitet.	
homoit0003308	Bisexuella belarusier		Bisexuella personer med belarusisk etnicitet eller nationalitet.	
homoit0003309	Belarusiska bögar		Bögar med belarusisk etnicitet eller nationalitet.	
homoit0003310	Belarusiska intersexpersoner		Intersexpersoner med belarusisk etnicitet eller nationalitet.	
homoit0003311	Lesbiska belarusier		Lesbiska med belarusisk etnicitet eller nationalitet.	
homoit0003312	Queera belarusier		Queera personer med belarusisk etnicitet eller nationalitet.	
homoit0003313	Ickebinära belarusier		Ickebinära personer med belarusisk etnicitet eller nationalitet.	
homoit0003314	Belarusiska transpersoner		Transpersoner med belarusisk etnicitet eller nationalitet.	
homoit0003315	Demisexuella belarusier		Demisexuella personer med belarusisk etnicitet eller nationalitet.	
homoit0003316	Belarusiska megasexuella personer		Megasexuella personer med belarusisk etnicitet eller nationalitet.	
homoit0003317	Belarusiska gråromantiska personer		Gråromantiska personer med belarusisk etnicitet eller nationalitet.	
homoit0003318	Aromantiska belarusier		Aromantiska personer med belarusisk etnicitet eller nationalitet.	
homoit0003319	Ryska hbtq+-personer		Hbtq+-personer som är etniskt ryska eller har rysk nationalitet.	
homoit0003320	Ryska asexuella personer	Asexuella ryssar	Asexuella personer som är etniskt ryska eller har rysk nationalitet.	
homoit0003321	Ryska bisexuella personer	Bisexuella ryssar	Bisexuella personer som är etniskt ryska eller har rysk nationalitet.	
homoit0003322	Ryska bögar	Ryska homosexuella män	Bögar som är etniskt ryska eller har rysk nationalitet.	
homoit0003323	Ryska intersexpersoner		Intersexpersoner som är etniskt ryska eller har rysk nationalitet.	
homoit0003324	Ryska lesbiska	Lesbiska ryssar	Lesbiska som är etniskt ryska eller har rysk nationalitet.	
homoit0003325	Ryska queera personer	Queera ryssar	Queera personer som är etniskt ryska eller har rysk nationalitet.	
homoit0003326	Ryska ickebinära personer	Ickebinära ryssar	Ickebinära personer som är etniskt ryska eller har rysk nationalitet.	
homoit0003327	Ryska transpersoner		Transpersoner som är etniskt ryska eller har rysk nationalitet.	
homoit0003328	Ryska demisexuella personer	Demisexuella ryssar	Demisexuella personer som är etniskt ryska eller har rysk nationalitet.	
homoit0003329	Ryska megasexuella personer	Megasexuella ryssar	Megasexuella personer som är etniskt ryska eller har rysk nationalitet.	
homoit0003330	Ryska gråromantiska personer	Gråromantiska ryssar||Greyromantic-ryssar||Ryska greyromantic-personer	Gråromantiska personer som är etniskt ryska eller har rysk nationalitet.	
homoit0003331	Ryska aromantiska personer	Aromantiska ryssar	Aromantiska personer som är etniskt ryska eller har rysk nationalitet.	
homoit0003333	Ickebinära personer från urfolk	Ickebinära personer från ursprungsbefolkningar	Ickebinära personer som tillhör ett urfolk eller en kulturellt särskiljbar etnisk grupp vars medlemmar härstammar direkt från de tidigast kända invånarna i ett visst område, och som till viss del bevarar språk och kultur. Används endast för personer som själva identifierar sig som urfolk. Använd mer specifika termer om möjligt.	
homoit0003334	Ukrainska hbtq+-personer		Hbtq+-personer som är etniskt ukrainska eller har ukrainskt medborgarskap.	
homoit0003335	Ukrainska asexuella personer	Asexuella ukrainare	Asexuella personer som är etniskt ukrainska eller har ukrainskt medborgarskap.	
homoit0003336	Ukrainska bisexuella personer	Bisexuella ukrainare	Bisexuella personer som är etniskt ukrainska eller har ukrainskt medborgarskap.	
homoit0003337	Ukrainska bögar		Bögar som är etniskt ukrainska eller har ukrainskt medborgarskap.	
homoit0003338	Ukrainska intersexpersoner		Intersexpersoner som är etniskt ukrainska eller har ukrainskt medborgarskap.	
homoit0003339	Ukrainska lesbiska personer	Lesbiska ukrainare	Lesbiska som är etniskt ukrainska eller har ukrainskt medborgarskap.	
homoit0003340	Ukrainska queera personer	Queera ukrainare	Queera personer som är etniskt ukrainska eller har ukrainskt medborgarskap.	
homoit0003341	Ukrainska ickebinära personer	Ickebinära ukrainare	Ickebinära personer som är etniskt ukrainska eller har ukrainskt medborgarskap.	
homoit0003342	Ukrainska transpersoner		Transpersoner som är etniskt ukrainska eller har ukrainskt medborgarskap.	
homoit0003343	Ukrainska demisexuella personer	Demisexuella ukrainare	Demisexuella personer som är etniskt ukrainska eller har ukrainskt medborgarskap.	
homoit0003344	Ukrainska megasexuella personer	Megasexuella ukrainare	Megasexuella personer som är etniskt ukrainska eller har ukrainskt medborgarskap.	
homoit0003345	Ukrainska gråromantiska personer	Gråromantiska ukrainare||Greyromantic ukrainare||Ukrainska greyromantic-personer	Gråromantiska personer som är etniskt ukrainska eller har ukrainskt medborgarskap.	
homoit0003346	Ukrainska aromantiska personer	Aromantiska ukrainare	Aromantiska personer som är etniskt ukrainska eller har ukrainskt medborgarskap.	
homoit0003347	Unitariska universalister (hbtq+)		Hbtq+-personer som är medlemmar i den främst amerikanska Unitarian Universalist-kyrkan.	
homoit0003348	Lesbiska unitariska universalister		Lesbiska som är medlemmar i den främst amerikanska Unitarian Universalist-kyrkan.	
homoit0003349	Bögar som är unitariska universalister	Homosexuella män som är unitariska universalister	Bögar som är medlemmar i den främst amerikanska Unitarian Universalist-kyrkan.	
homoit0003350	Bisexuella unitariska universalister		Bisexuella personer som är medlemmar i den främst amerikanska Unitarian Universalist-kyrkan.	
homoit0003351	Transpersoner som är unitariska universalister		Transpersoner som är medlemmar i den främst amerikanska Unitarian Universalist-kyrkan.	
homoit0003352	Queera unitariska universalister		Queera personer som är medlemmar i den främst amerikanska Unitarian Universalist-kyrkan.	
homoit0003353	Demisexuella unitariska universalister		Demisexuella personer som är medlemmar i den främst amerikanska Unitarian Universalist-kyrkan.	
homoit0003354	Megasexuella unitariska universalister		Megasexuella personer som är medlemmar i den främst amerikanska Unitarian Universalist-kyrkan.	
homoit0003355	Intersexpersoner som är unitariska universalister		Intersexpersoner som är medlemmar i den främst amerikanska Unitarian Universalist-kyrkan.	
homoit0003356	Aromantiska unitariska universalister		Aromantiska personer som är medlemmar i den främst amerikanska Unitarian Universalist-kyrkan.	
homoit0003357	Gråromantiska unitariska universalister	unitariska universalister som är greyromantic-personer	Gråromantiska som är medlemmar i den främst amerikanska Unitarian Universalist-kyrkan.	
homoit0003358	Ickebinära unitariska universalister		Ickebinära personer som är medlemmar i den främst amerikanska Unitarian Universalist-kyrkan.	
homoit0003359	Dragshower		Framträdanden av en eller flera dragartister som ofta innehåller sång eller mimande till sång, dansnummer och komiska sketcher.	
homoit0003360	Drag-skönhetstävlingar	Drag pageants	Evenemang utformade efter traditionella skönhetstävlingar eller tävlingsformat där deltagare, vanligtvis dragqueens, damimitatörer och transkvinnor, tävlar i olika kategorier för att vinna ett pris eller en titel.	
homoit0003361	Reproduktiv hälsovård för hbtq+-personer		Tillgång till och erfarenheter av reproduktiv hälsovård för hbtq+-personer. Reproduktiv hälsovård omfattar preventivmedel, abort, assisterad befruktning samt mödra- och förlossningsvård.	
homoit0003362	Reproduktiv hälsovård för ickebinära		Tillgång till och erfarenheter av reproduktiv hälsovård för ickebinära personer. Reproduktiv hälsovård omfattar preventivmedel, abort, assisterad befruktning samt mödra- och förlossningsvård.	
homoit0003363	Reproduktiv hälsovård för transpersoner		Tillgång till och erfarenheter av reproduktiv hälsovård för transpersoner. Reproduktiv hälsovård omfattar preventivmedel, abort, assisterad befruktning samt mödra- och förlossningsvård.	
homoit0003364	Gravida personer		Personer som är gravida, det vill säga som bär ett befruktat ägg i livmodern.	
homoit0003365	Abort		Avbrytande av graviditet.	
homoit0003366	Tillgång till abort för hbtq+-personer	Aborttillgång för HBTQ+-personer	Term som används för att beskriva olika faktorer som påverkar hbtq+-personers tillgång till abort i en viss kontext eller på en viss plats. Faktorer som påverkar tillgängligheten kan omfatta juridiska förutsättningar, säkerhet, integritet, ekonomiska kostnader och rörelsefrihet.	
homoit0003367	Kroppslig autonomi		En individs rätt att fatta informerade beslut om sin egen kropp utan yttre påverkan eller tvång.	
homoit0003368	Reproduktiv hälsovård för two spirit-personer		Tillgång till och erfarenheter av reproduktiv hälsovård för Two-spirit-personer. Reproduktiv hälsovård omfattar preventivmedel, abort, assisterad befruktning samt mödra- och förlossningsvård.	
homoit0003369	Reproduktiva rättigheter		Juridiska, sociala och etiska principer som rör frihet i beslut om reproduktiv hälsa och vård. Begreppet används ofta för att hänvisa till individens rätt till kroppslig autonomi och tillgång till laglig och säker preventivmedelsanvändning, abort, assisterad befruktning och mödravård.	
homoit0003370	Hbtq+-personer på landsbygden	Hbtq+-personer i glesbygden	Hbtq+-personer som bor på landsbygden eller glesbygd, eller har anknytning till landsbygd eller glesbygd.	
homoit0003371	Lesbiska på landsbygden	Lesbiska i glesbygden	Lesbiska som bor på landsbygden eller glesbygd, eller har anknytning till landsbygd eller glesbygd.	
homoit0003372	Bögar på landsbygden	Bögar i glesbygden||Homosexuella män på landsbygden||Homosexuella män i glesbygden	Bögar som bor på landsbygden eller glesbygd, eller har anknytning till landsbygd eller glesbygd.	
homoit0003373	Bisexuella på landsbygden	Bisexuella i glesbygden	Bisexuella personer som bor på landsbygden eller glesbygd, eller har anknytning till landsbygd eller glesbygd.	
homoit0003374	Transpersoner på landsbygden	Transpersoner i glesbygden	Transpersoner som bor på landsbygden eller glesbygd, eller har anknytning till landsbygd eller glesbygd.	
homoit0003375	Queera personer på landbygden	Queera personeri glesbygden||Glesbygdsqueers	Queera personer som bor på landsbygden eller glesbygd, eller har anknytning till landsbygd eller glesbygd.	
homoit0003376	Asexuella på landsbygden	Asexuella i glesbydgen	Asexuella personer som bor på landsbygden eller glesbygd, eller har anknytning till landsbygd eller glesbygd.	
homoit0003377	Aromantiska på landsbygden	Aromantiska i glesbygden	Aromantiska personer som bor på landsbygden eller glesbygd, eller har anknytning till landsbygd eller glesbygd.	
homoit0003378	Intersexpersoner på landsbygden	Intersexpersoner i glesbygden	Intersexpersoner som bor på landsbygden eller glesbygd, eller har anknytning till landsbygd eller glesbygd.	
homoit0003379	Ickebinära personer på landsbygden	Ickebinära personer i glesbygden	Ickebinära personer som bor på landsbygden eller glesbygd, eller har anknytning till landsbygd eller glesbygd.	
homoit0003380	Two spirit-personer på landsbygden	Two spirit-personer i glesbygden	Two-spirit-personer som bor på landsbygden eller glesbygd, eller har anknytning till landsbygd eller glesbygd.	
homoit0003381	Vita ickebinära personer		Ickebinära personer som är vita.	
homoit0003382	Arabamerikanska hbtq+-personer		Hbtq+-personer som har arabiskt ursprung och är födda i USA, eller hbtq+-personer födda i arabvärlden som bor i eller har en stark koppling till USA. Ska inte förväxlas med muslimer.	
homoit0003383	Lesbiska arabamerikaner		Lesbiska som har arabiskt ursprung och är födda i USA, eller lesbiska födda i arabvärlden som bor i eller har en stark koppling till USA. Ska inte förväxlas med muslimer.	
homoit0003384	Arabamerikanska bögar	Arabamerikanska bögar	Bögar som har arabiskt ursprung och är födda i USA, eller bögar födda i arabvärlden som bor i eller har en stark koppling till USA. Ska inte förväxlas med muslimer.	
