identifier	prefLabel	altLabel	description	historyNote
homoit0002556	Películas porno intersexuales	Películas pornográficas intersex||Películas pornográficas intersexuales	Películas eróticas o sexualmente explícitas protagonizadas por personas intersex.	
homoit0002936	Prensa intersexual	Prensa intersex	Periódicos, revistas u otros medios editoriales dirigidos a audiencias intersexuales y/o operados por personas intersex.	
homoit0002978	Protestantes intersexuales	Protestantes intersex	Personas intersex que son miembros de la Iglesia protestante.	
homoit0002937	Editoriales intersexual	Editoriales intersex	Empresas y organizaciones que publican materiales para comunidades intersex o que abordan asuntos intersex.	
homoit0002938	Radio intersexual	Radio intersex	Contenido auditivo difundido por radio (analógica o digital) sobre personas intersex y asuntos intersex.	
homoit0002939	Relaciones intersexuales	Relaciones intersex	Conexiones continuas (románticas, sexuales o platónicas) entre dos o más personas intersex.	
homoit0000673	Derechos intersexuales	Derechos intersex	Principios legales, sociales o éticos de libertad o derechos que tienen las personas intersex. A menudo, se utiliza para referirse al derecho de las personas intersex a la autonomía corporal y, específicamente, a su derecho a retrasar o rechazar intervenciones médicas innecesarias.	
homoit0002987	Personas católicas romanas intersexuales	Católico romanos intersex	Personas intersex que son miembros de la Iglesia católica romana.	
homoit0002435	Ficción romántica intersexual	Ficción romántica intersex	Obras de ficción que giran en torno a relaciones románticas y/o sexuales entre los personajes principales; utilícese en referencia a la ficción romántica centrada en personajes intersex.	
homoit0002440	Ciencia ficción intersexual	Ciencia ficción intersex	Obras literarias escritas sobre conceptos imaginativos o futuristas que incorporen la ciencia, la tecnología, el espacio, los viajes en el tiempo y otros elementos especulativos; utilícese en referencia a la ciencia ficción centrada en personajes o temas intersex.	
homoit0002940	Jerga intersexual	Argot intersex	Lenguaje coloquial o informal relacionado con la identidad intersex o utilizado por personas intersex.	
homoit0002941	Hijos intersexuales	Hijos intersex	Personas intersex que son hijos. Utilícese únicamente para describir a personas que se autoidentifiquen como hijos.	
homoit0002934	Estudios intersexuales	Estudios intersex	Campo académico de investigación y estudio sobre personas intersex, la identidad intersex y comunidades intersex.	
homoit0002005	Sobrevivientes intersexuales de acoso	Sobrevivientes intersex de acoso	Personas intersex que han sufrido y sobrevivido acoso dirigido hacia ellas por ser intersex; siga la preferencia de la persona sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0002942	Sobrevivientes intersexuales de crímenes de odio	Sobrevivientes intersex de crímenes de odio	Personas intersex que han sufrido y sobrevivido crímenes de odio; siga la preferencia de la persona sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0002943	Sobrevivientes intersexuales de violación	Sobrevivientes intersex de violación	Personas intersex que han sufrido y sobrevivido una violación; siga la preferencia de la persona sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0002944	Sobrevivientes intersexuales de abuso sexual	Sobrevivientes intersex de abuso sexual	Personas intersex que han sufrido y sobrevivido abusos sexuales; siga la preferencia de la persona sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0002945	Sobrevivientes intersexuales de guerra	Sobrevivientes intersex de guerra	Personas intersex que han sufrido y sobrevivido la guerra; siga la preferencia de la persona sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0002946	Televisión intersexual	Televisión intersex	Programas de televisión que presentan personajes o temas intersex.	
homoit0002947	Teatro intersexual	Teatro intersex	Trabajos en las artes escénicas que se centran en personajes o temas intersex.	
homoit0003190	Ficción fantástica urbana intersexual	Ficción fantástica urbana intersex	Un subgénero de la ficción fantástica que presenta criaturas mágicas y sobrenaturales en entornos urbanos contemporáneos; utilícese para la fantasía urbana centrada en personajes o temas intersex.	
homoit0000669	Variaciones intersexuales	Condiciones intersexuales||Condiciones intersex||Variaciones intersex	Término utilizado para referirse a una amplia gama de variaciones en las características sexuales. El término "condiciones intersexuales" es un término patologizante que se utiliza para referirse a personas que nacen con variaciones en sus características sexuales físicas, también conocidas como rasgos intersex.	
homoit0001996	Víctimas intersexuales de acoso	Víctimas intersex de acoso	Personas intersex que han sufrido acoso dirigido hacia ellas porque son intersex y pueden haber sobrevivido o no; siga la preferencia de la persona sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0002948	Víctimas intersexuales de crímenes de odio	Víctimas intersex de crímenes de odio	Personas intersex que han sufrido crímenes de odio y que pueden haber sobrevivido o no; siga la preferencia de la persona sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0002949	Víctimas intersexuales de abuso sexual	Víctimas intersex de abuso sexual	Personas intersex que han sufrido abuso sexual y que pueden haber sobrevivido o no; siga la preferencia de la persona sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0002950	Víctimas intersexuales de guerra	Víctimas intersex de guerra	Personas intersex que han sufrido la guerra y que pueden haber sobrevivido o no; siga la preferencia de la persona sobre el uso de "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0002951	Derechos de víctimas intersexuales	Derechos de víctimas intersex	Los derechos legales de las personas intersex a estar informadas, estar presentes y ser escuchadas dentro del sistema de justicia penal después de haber sido perjudicadas o lesionadas como resultado de un delito, un accidente u otro evento.	
homoit0002952	Usuarios intersexuales de sillas de ruedas	Usuarios intersex de sillas de ruedas	Personas intersexuales que utilizan sillas de ruedas.	
homoit0001913	Brujxs intersexuales	Brujxs intersex||Brujas intersex||Brujos intersex||Brujas intersexuales||Brujos intersexuales	Practicantes intersex de Wicca u otras religiones paganas que se autoidentifican como brujas.	
homoit0000674	Juventud intersexual	Adolescentes intersex||Jóvenes intersex||Juventud intersex||Adolescentes intersexuales||Jóvenes intersexuales	Personas intersex entre la edad de la niñez y la edad adulta.	
homoit0002953	Literatura juvenil intersexual	Literatura juvenil intersex	Obras literarias escritas para una audiencia de lectores de 12 a 18 años de edad, también conocidas como literatura para adultos jóvenes o YA (por sus siglas en inglés); utilícese en referencia a la literatura juvenil que se centra en personajes o temas intersex.	
homoit0003148	Zines intersexuales	Zines intersex	Publicaciones independientes de pequeña tirada generalmente reproducidas mediante fotocopiadora; utilícese para zines creadas por personas intersex y/o centradas en la identidad intersex.	
homoit0002954	Negocios orientados a personas intersexuales	Negocios orientados a personas intersex||Empresas orientadas a personas intersexuales||Compañías orientadas a personas intersexuales	Empresas enfocadas en clientela intersex y productos relacionados con comunidades intersex.	
homoit0002955	Negocios propiedad de personas intersexuales	Negocios propiedad de personas intersex||Negocios de dueños intersexuales||Compañías de dueños intersexuales||Empresas de propietarios intersexuales||Negocios de dueñas intersexuales||Compañías de dueñas intersexuales||Empresas de propietarias intersexuales	Empresas pertenecientes a personas intersex.	
homoit0002923	Personas asexuales inuit	Personas inuit asexuales	Personas asexuales que son inuit o que son parte de varios pueblos indígenas que habitan los territorios ancestrales inuit en las regiones árticas o subárticas de Groenlandia, Canadá y Alaska. Utilícese únicamente para personas que se identifiquen como inuit.	
homoit0002908	Personas asexuales judías	Judíos asexuales||Personas judías asexuales	Personas asexuales que son judías.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras). Los términos para las personas blancas LGBTQ+ también siguen este formato para evitar tratar la blancura como el estándar o norma y, en cambio, enfatizan su especificidad y significado.
homoit0003100	Suspensorio	Suspensores||Jockstraps	Artículo de vestir con una bolsa para sostener los genitales, que suele utilizarse por atletas, o para la gratificación estética o sexual.	
homoit0002254	Personas asexuales kalash	Personas kalash asexuales	Personas asexuales que pertenecen a el pueblo indígena Kalasha y residen en el distrito Chitral de la provincia Khyber-Pakhtunkhwa en Pakistan.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
homoit0002250	Personas bisexuales kalash	Personas kalash bisexuales	Personas bisexuales que pertenecen a el pueblo indígena Kalasha y residen en el distrito Chitral de la provincia Khyber-Pakhtunkhwa en Pakistan.	Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).
