identifier	prefLabel	altLabel	description	historyNote
homoit0003024	Personas arrománticas con enfermedades crónicas	Personas con enfermedades crónicas arrománticas||Enfermos crónicos arrománticos||Enfermas crónicas arrománticas	Personas arrománticas que tienen condiciones de salud a largo plazo que requieren atención médica continua y/o que impactan o limitan significativamente sus vidas diarias. Algunas, pero no todas, las personas con enfermedades crónicas se consideran discapacitadas.	
homoit0003455	Fotógrafos arrománticos	Fotógrafas arrománticas||Fotógrafxs arrománticxs	Personas arrománticas que toman fotografías, ya sea profesionalmente o por afición.	
homoit0003203	Solidaridad arromántica		Un sentido de compañerismo y unidad general de propósito, interés político y/o simpatías comunitarias basadas en experiencias compartidas como personas arrománticas.	
homoit0003248	Profesores arrománticos	Profesoras arrománticas	Profesores que se autoidentifican como arrománticos.	
homoit0003356	Unitarios universalistas arrománticos	Personas unitarias universalistas arrománticas||Unitarias universalistas arrománticas	Personas arrománticas que son miembros de la Iglesia Unitaria Universalista.	
homoit0003216	Sitios web arrománticos	Páginas web arrománticas	Páginas web públicas que tratan principalmente sobre comunidades y temas arrománticos, así como páginas web destinadas a personas arrománticas.	
homoit0002461	Sobrevivientes jóvenes arrománticos de bullying	Sobrevivientes arrománticos jóvenes de bullying||Sobrevivientes arrománticas jóvenes de bullying||Sobrevivientes jóvenes arrománticas de bullying	Jóvenes arrománticos de entre 12 y 18 años que han sufrido y sobrevivido al acoso debido a su identidad sexual. Siga la preferencia de la persona por "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0003469	Víctimas jóvenes arrománticas de bullying		Jóvenes arrománticos de entre 12 y 18 años que han sufrido acoso debido a su identidad sexual y pueden o no haber sobrevivido. Siga la preferencia de la persona por "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0003265	Académicos asexuales	Académicas asexuales||Profesores de universidad asexuales||Investigadores asexuales||Profesoras de universidad asexuales||Investigadoras asexuales||	Investigadores y/o educadores asexuales que trabajan en la enseñanza superior.	
homoit0003495	Literatura infantil asexual	Literatura asexual infantil	Obras literarias escritas para un público de lectores de hasta 12 años de edad, también conocidas como literatura infantil. Se utiliza en referencia a la literatura infantil centrada en personajes o temas asexuales.	
homoit0003439	Pintores asexuales	Pintoras asexuales	Personas asexuales que pintan, ya sea profesionalmente o por afición.	
homoit0003456	Fotógrafos asexuales	Fotógrafas asexuales	Personas asexuales que toman fotografías, ya sea profesionalmente o por afición.	
homoit0003202	Solidaridad asexual		Un sentido de compañerismo y unidad general de propósito, interés político y/o simpatías comunitarias basadas en experiencias compartidas como personas asexuales.	
homoit0003249	Docentes asexuales	Profesores asexuales||Profesoras asexuales	Docentes o profesores que se autoidentifican como asexuales.	
homoit0003217	Sitios web asexuales		Páginas web públicas que tratan principalmente sobre comunidades y temas asexuales, así como páginas web destinadas a personas asexuales.	
homoit0003468	Sobrevivientes jóvenes asexuales de bullying		Jóvenes asexuales de entre 12 y 18 años que han sufrido y sobrevivido al acoso debido a su identidad sexual. Siga la preferencia de la persona por "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0003482	Víctimas jóvenes asexuales de bullying		Jóvenes asexuales de entre 12 y 18 años que han sufrido acoso debido a su identidad sexual y pueden o no haber sobrevivido. Siga la preferencia de la persona por "víctimas" o "sobrevivientes" siempre que sea posible.	
homoit0003135	Juego con cenizas	Ash play||Ashing	La aplicación de ceniza de cigarro o cigarrillo en la boca o el cuerpo de alguien.	
homoit0003394	Personas no binarixs asamesas	Personas asamesas no binarias||Asamesxs no binarixs||No binarixs asamesxs	Personas no binarias que forman parte de los pueblos socioétnicos asameses, hablan la lengua asamesa o residen en el estado indio de Assam.	
homoit0003395	Personas no binarixs awadi	Personas awadi no binarias||Awadis no binarixs||No binarixs awadis	Personas no binarias que hablan el dialecto awadi, residen o descienden de quienes residieron en la región awadi de Uttar Pradesh, en el norte de India.	
homoit0003508	Baihe	Bǎihé	Género literario que se centra en las relaciones románticas o sexuales entre personajes femeninos en novelas, cómics, películas, animación y dramas chinos.	
homoit0001139	Prohibición del acceso a baños	Prohibiciones de acceso a baños||Prohibiciones de baños||Prohibición del acceso a vestidores	Leyes o políticas instituidas para evitar que las personas trans y no binarias utilicen baños e instalaciones públicas como vestidores, duchas, vestuarios y otros espacios segregados por sexo, en función de su identidad de género.	
homoit0001788	Barbas (cultura gay)	Beards	Personas que se hacen pasar por la pareja de alguien con quien no mantienen una relación, normalmente para evitar que la sexualidad de esa persona se haga pública. Más comúnmente utilizado para referirse a una mujer que finge estar saliendo con un hombre gay.	
homoit0003318	Personas arrománticas bielorrusas	Bielorrusos arrománticos||Bielorrusas arrománticas	Personas arrománticas de etnia bielorrusa o con nacionalidad bielorrusa.	
homoit0003307	Personas asexuales bielorrusas	Bielorrusos asexuales||Bielorrusas asexuales	Personas asexuales de etnia bielorrusa o con nacionalidad bielorrusa.	
homoit0003308	Personas bisexuales bielorrusas	Bielorrusos bisexuales||Bielorrusas bisexuales	Personas bisexuales de etnia bielorrusa o con nacionalidad bielorrusa.	
homoit0003315	Personas demisexuales bielorrusas	Bielorrusos demisexuales||Bielorrusas demisexuales	Personas demisexuales de etnia bielorrusa o con nacionalidad bielorrusa.	
homoit0003309	Hombres gay bielorrusos	Bielorrusos gay	Hombres gay de etnia bielorrusa o con nacionalidad bielorrusa.	
homoit0003317	Personas grisrománticas bielorrusas	Bielorrusos grisrománticos||Bielorrusas grisrománticas	Personas grisrománticas de etnia bielorrusa o con nacionalidad bielorrusa.	
homoit0003310	Personas intersexuales bielorrusas	Bielorrusos intersexuales||Bielorrusos intersex||Bielorrusas intersexuales||Bielorrusas intersex	Personas intersexuales de etnia bielorrusa o con nacionalidad bielorrusa.	
homoit0003311	Lesbianas bielorrusas	Bielorrusas lesbianas	Lesbianas de etnia bielorrusa o con nacionalidad bielorrusa.	
homoit0003306	Personas LGBTQ+ bielorrusas	Bielorrusos LGBTQ+||Bielorrusos LGBTQ||Bielorrusos (LGBTQ)||Bielorrusas LGBTQ+||Bielorrusas LGBTQ||Bielorrusas (LGBTQ)	Personas LGBTQ+ de etnia bielorrusa o con nacionalidad bielorrusa.	
homoit0003316	Personas megasexuales bielorrusas	Bielorrusos megasexuales||Bielorrusas megasexuales	Personas megasexuales de etnia bielorrusa o con nacionalidad bielorrusa.	
homoit0003313	Personas no binarixs bielorrusas	Bielorrusxs no binarixs||Personas bielorrusas no binarias	Personas no binarias de etnia bielorrusa o con nacionalidad bielorrusa.	
homoit0003312	Personas queer bielorrusas	Bielorrusos queer||Bielorrusas queer	Personas queer de etnia bielorrusa o con nacionalidad bielorrusa.	
homoit0003314	Personas transgénero bielorrusas	Bielorrusos transgénero||Bielorrusos trans||Bielorrusas transgénero||Bielorrusas trans	Personas transgénero de etnia bielorrusa o con nacionalidad bielorrusa.	
homoit0003396	Personas no binarixs bengalíes	Personas bengalíes no binarias||Bengalíes no binarixs||No binarixs bengalíes	Personas no binarias que hablan el idioma bengalí y son de ascendencia bengalí. Correferenciar con personas no binarias de Bangladesh cuando una persona es tanto de etnia bengalí como de nacionalidad bangladesí.	
homoit0003397	Personas no binarixs bhil	Personas bhils no binarias||Bhils no binarixs||No binarixs bhils	Personas no binarias que hablan el idioma bhil y pertenecen o son descendientes del grupo tribal bhil.	
homoit0003398	Personas no binarixs bhojpuri	Personas bhojpuri no binarias||Bhojpuris no binarixs||No binarixs bhojpuris	Personas no binarias que hablan el idioma bhojpuri y viven, pertenecen o son descendientes de quienes habitaron la región de Bhojpuri-Purvanchal de India y Nepal.	
homoit0003445	Bicuriosidad	Bi-curiosidad||Bicurioso||Bicuriosa	Término utilizado para describir el fenómeno de personas heterosexuales o de apariencia heterosexual que expresan curiosidad por explorar relaciones o experiencias sexuales con otras personas de su mismo género.	
homoit0003399	Personas no binarixs birraciales	Personas birraciales no binarias||No binarixs birraciales	Personas no binarias que pertenecen a dos o más grupos raciales. Utilícese únicamente para personas que se autoidentifican como birraciales.	
homoit0003266	Académicos bisexuales	Profesores de universidad bisexuales||Investigadores bisexuales||Profesoras de universidad bisexuales||Investigadoras bisexuales||Académicas bisexuales	Investigadores y/o educadores bisexuales que trabajan en la enseñanza superior.	
