identifier	prefLabel	altLabel	description	historyNote
homoit0003232	Palestijnse LHBTQ+-personen	LHBTQ+-Palestijnse personen||Palestijnen (LHBTQ)||Palestijnse personen (LHBTQ)	LHBTQ+-personen die geboren zijn, woonachtig zijn en/of afstammen van personen die inheems zijn in het land Palestina.	
homoit0000913	Papoea LHBTQ+-personen	Papoea's (LHBTQ+)		
homoit0002927	Papoea aseksuele personen		Aseksuele mensen die Papoea zijn, of deel uitmaken van de inheemse volkeren van Nieuw-Guinea; alleen gebruiken voor mensen die zich identificeren als Papoea.	
homoit0001945	Papoea biseksuele personen	Papoea biseksuelen	Biseksuele personen die Papoea zijn, of deel uitmaken van de inheemse volkeren van Nieuw-Guinea; alleen gebruiken voor mensen die zich identificeren als Papoea	
homoit0001944	Papoea homomannen		Homomannen die Papoea zijn, of deel uitmaken van de inheemse volkeren van Nieuw-Guinea; alleen gebruiken voor mensen die zich identificeren als Papoea	
homoit0001948	Papoea intersekse personen		Intersekse personen die Papoea zijn, of deel uitmaken van de inheemse volkeren van Nieuw-Guinea; alleen gebruiken voor mensen die zich identificeren als Papoea	
homoit0001943	Papoea lesbische vrouwen		Lesbische vrouwen die Papoea zijn, of deel uitmaken van de inheemse volkeren van Nieuw-Guinea; alleen gebruiken voor mensen die zich identificeren als Papoea	
homoit0003424	Papoea non-binaire personen	Nonbinaire Papoea's||Papoea nonbinaire personen	Non-binaire personen die Papoea zijn of deel uitmaken van de inheemse bevolking van Nieuw-Guinea; alleen gebruiken voor personen die zich identificeren als Papoea.	
homoit0001947	Papoea queer personen		Queer personen die Papoea zijn, of deel uitmaken van de inheemse volkeren van Nieuw-Guinea; alleen gebruiken voor mensen die zich identificeren als Papoea	
homoit0001946	Papoea transgender personen		Transgender personen die Papoea zijn, of deel uitmaken van de inheemse volkeren van Nieuw-Guinea; alleen gebruiken voor mensen die zich identificeren als Papoea	
homoit0004153	Riukiuaanse LHBTQ+-personen		LHBTQ+-personen die behoren tot de Riukiuanen, een etnische groep afkomstig uit de Riukiu-archipel in wat nu Japan heet. Deze term wordt alleen gebruikt voor mensen die zichzelf identificeren als Riukiuaan.	
homoit0004161	Riukiuaanse aseksuele personen		Aseksuele personen die behoren tot de Riukiuanen, een etnische groep afkomstig uit de Riukiu-archipel in wat nu Japan heet. Deze term wordt alleen gebruikt voor mensen die zichzelf identificeren als Riukiuaan.	
homoit0004156	Riukiuaanse biseksuele personen	Riukiuaanse biseksuelen	Biseksuele personen die behoren tot de Riukiuanen, een etnische groep afkomstig uit de Riukiu-archipel in wat nu Japan heet. Deze term wordt alleen gebruikt voor mensen die zichzelf identificeren als Riukiuaan.	
homoit0004155	Riukiuaanse homomannen		Homomannen die behoren tot de Riukiuanen, een etnische groep afkomstig uit de Riukiu-archipel in wat nu Japan heet. Deze term wordt alleen gebruikt voor mensen die zichzelf identificeren als Riukiuaan.	
homoit0004159	Riukiuaanse intersekse personen		Intersekse personen die behoren tot de Riukiuanen, een etnische groep afkomstig uit de Riukiu-archipel in wat nu Japan heet. Deze term wordt alleen gebruikt voor mensen die zichzelf identificeren als Riukiuaan.	
homoit0004154	Riukiuaanse lesbische vrouwen		Lesbische vrouwen die behoren tot de Riukiuanen, een etnische groep afkomstig uit de Riukiu-archipel in wat nu Japan heet. Deze term wordt alleen gebruikt voor mensen die zichzelf identificeren als Riukiuaan.	
homoit0004160	Riukiuaanse non-binaire personen	Nonbinaire Riukiuanen||Riukiuaanse nonbinaire personen	Non-binaire personen die behoren tot de Riukiuanen, een etnische groep afkomstig uit de Riukiu-archipel in wat nu Japan heet. Deze term wordt alleen gebruikt voor mensen die zichzelf identificeren als Riukiuaan.	
homoit0004158	Riukiuaanse queer personen		Queer personen die behoren tot de Riukiuanen, een etnische groep afkomstig uit de Riukiu-archipel in wat nu Japan heet. Deze term wordt alleen gebruikt voor mensen die zichzelf identificeren als Riukiuaan.	
homoit0004157	Riukiuaanse transgender personen	Trans Riukiuanen||Transgender Riukiuanen	Transgender personen die behoren tot de Riukiuanen, een etnische groep afkomstig uit de Riukiu-archipel in wat nu Japan heet. Deze term wordt alleen gebruikt voor mensen die zichzelf identificeren als Riukiuaan.	
homoit0004162	Sami LHBTQ+-personen		LHBTQ+-personen die behoren tot de traditioneel Sami-sprekende inheemse bevolking van een gebied dat grote delen omvat van het noorden van Noorwegen, Zweden, Finland en het Kola-schiereiland in Rusland. De term wordt alleen gebruikt voor mensen die zichzelf als Sami identificeren.	
homoit0004163	Sami aseksuele personen		Aseksuele personen die behoren tot de traditioneel Sami-sprekende inheemse bevolking van een gebied dat grote delen omvat van het noorden van Noorwegen, Zweden, Finland en het Kola-schiereiland in Rusland. De term wordt alleen gebruikt voor mensen die zichzelf als Sami identificeren.	
homoit0004164	Sami biseksuele personen		Biseksuele personen die behoren tot de traditioneel Sami-sprekende inheemse bevolking van een gebied dat grote delen omvat van het noorden van Noorwegen, Zweden, Finland en het Kola-schiereiland in Rusland. De term wordt alleen gebruikt voor mensen die zichzelf als Sami identificeren.	
homoit0004165	Sami homomannen		Homomannen die behoren tot de traditioneel Sami-sprekende inheemse bevolking van een gebied dat grote delen omvat van het noorden van Noorwegen, Zweden, Finland en het Kola-schiereiland in Rusland. De term wordt alleen gebruikt voor mensen die zichzelf als Sami identificeren.	
