URI	identifier	prefLabel	prefLabel Alternate Spellings	altLabel	description	historyNote	broader	narrower	related	issued	modified	isReplacedBy	replaces
http://homosaurus.org/v2/sexIndustry	sexIndustry	Sex industry@en	""	Adult entertainment industry@en	""	""	http://homosaurus.org/v2/brothels||http://homosaurus.org/v2/pornIndustry||http://homosaurus.org/v2/sexCinemas||http://homosaurus.org/v2/sexClubs||http://homosaurus.org/v2/sexShops||http://homosaurus.org/v2/sexTourism	http://homosaurus.org/v2/gaySaunas||http://homosaurus.org/v2/peepShows||http://homosaurus.org/v2/phoneSex||http://homosaurus.org/v2/sexuality||http://homosaurus.org/v2/sexWork||http://homosaurus.org/v2/sexWorkersLGBTQ	2019-05-14	2021-09-24	https://homosaurus.org/v3/homoit0000011	""
http://homosaurus.org/v2/sexShops	sexShops	Sex shops@en	""	Adult entertainment stores@en	""	http://homosaurus.org/v2/sexIndustry	""	http://homosaurus.org/v2/sexAccessories	2019-05-14	2021-09-24	https://homosaurus.org/v3/homoit0000012	""
http://homosaurus.org/v2/pornFilmsLGBTQ	pornFilmsLGBTQ	Porn films (LGBTQ)@en	""	Adult films (LGBTQ)@en||Porn videos (LGBTQ)@en||X-rated films (LGBTQ)@en	""	""	http://homosaurus.org/v2/bisexualPornFilms||http://homosaurus.org/v2/gayPornFilms||http://homosaurus.org/v2/lesbianPornFilms||http://homosaurus.org/v2/queerPornFilms||http://homosaurus.org/v2/transgenderPornFilms	http://homosaurus.org/v2/LGBTQFilms||http://homosaurus.org/v2/pornIndustry||http://homosaurus.org/v2/pornography||http://homosaurus.org/v2/pornStars||http://homosaurus.org/v2/sexCinemas	2019-05-14	2021-09-24	https://homosaurus.org/v3/homoit0000013	""
http://homosaurus.org/v2/sexCinemas	sexCinemas	Sex cinemas@en	""	Adult movie theatres@en	""	http://homosaurus.org/v2/sexIndustry	""	http://homosaurus.org/v2/pornFilmsLGBTQ	2019-05-14	2021-09-24	https://homosaurus.org/v3/homoit0000014	""
http://homosaurus.org/v2/africanAmericansLGBTQ	africanAmericansLGBTQ	African-Americans (LGBTQ)@en	""	""	""	http://homosaurus.org/v2/blackPeopleLGBTQ	http://homosaurus.org/v2/bisexualAfricanAmericans||http://homosaurus.org/v2/downLow||http://homosaurus.org/v2/gayAfricanAmericans||http://homosaurus.org/v2/lesbianAfricanAmericans||http://homosaurus.org/v2/queerAfricanAmericans||http://homosaurus.org/v2/transgenderAfricanAmericans	http://homosaurus.org/v2/banjees||http://homosaurus.org/v2/sameGenderLoving	2019-05-14	2021-09-24	https://homosaurus.org/v3/homoit0000015	""
http://homosaurus.org/v2/afroCanadiansLGBTQ	afroCanadiansLGBTQ	Afro-Canadians (LGBTQ)@en	""	""	""	http://homosaurus.org/v2/blackPeopleLGBTQ	http://homosaurus.org/v2/bisexualAfroCanadians||http://homosaurus.org/v2/gayAfroCanadians||http://homosaurus.org/v2/lesbianAfroCanadians||http://homosaurus.org/v2/queerAfroCanadians||http://homosaurus.org/v2/transgenderAfroCanadians	""	2019-05-14	2021-09-24	https://homosaurus.org/v3/homoit0000016	""
http://homosaurus.org/v2/afroCaribbeansLGBTQ	afroCaribbeansLGBTQ	Afro-Caribbeans (LGBTQ)@en	""	""	""	http://homosaurus.org/v2/blackPeopleLGBTQ	http://homosaurus.org/v2/bisexualAfroCaribbeans||http://homosaurus.org/v2/gayAfroCaribbeans||http://homosaurus.org/v2/lesbianAfroCaribbeans||http://homosaurus.org/v2/queerAfroCaribbeans||http://homosaurus.org/v2/transgenderAfroCaribbeans	""	2019-05-14	2021-09-24	https://homosaurus.org/v3/homoit0000017	""
http://homosaurus.org/v2/afroEuropeansLGBTQ	afroEuropeansLGBTQ	Afro-Europeans (LGBTQ)@en	""	""	""	http://homosaurus.org/v2/blackPeopleLGBTQ	http://homosaurus.org/v2/bisexualAfroEuropeans||http://homosaurus.org/v2/gayAfroEuropeans||http://homosaurus.org/v2/lesbianAfroEuropeans||http://homosaurus.org/v2/queerAfroEuropeans||http://homosaurus.org/v2/transgenderAfroEuropeans	""	2019-05-14	2021-09-24	https://homosaurus.org/v3/homoit0000018	""
http://homosaurus.org/v2/afroLatinAmericansLGBTQ	afroLatinAmericansLGBTQ	Afro-Latin Americans (LGBTQ)@en	""	""	""	http://homosaurus.org/v2/blackPeopleLGBTQ||http://homosaurus.org/v2/latinxLGBTQ	http://homosaurus.org/v2/bisexualAfroLatinAmericans||http://homosaurus.org/v2/gayAfroLatinAmericans||http://homosaurus.org/v2/lesbianAfroLatinAmericans||http://homosaurus.org/v2/queerAfroLatinAmericans||http://homosaurus.org/v2/transgenderAfroLatinAmericans	""	2019-05-14	2021-09-24	https://homosaurus.org/v3/homoit0000019	""
http://homosaurus.org/v2/ageOfConsent	ageOfConsent	Age of consent@en	""	""	""	http://homosaurus.org/v2/childrensSexuality	""	http://homosaurus.org/v2/consent||http://homosaurus.org/v2/intergenerationalRelationships||http://homosaurus.org/v2/sexualOffencesLaws	2019-05-14	2021-09-24	https://homosaurus.org/v3/homoit0000020	""
