URI	identifier	prefLabel	prefLabel Alternate Spellings	altLabel	description	historyNote	broader	narrower	related	issued	modified	isReplacedBy	replaces
https://homosaurus.org/v2/daughtersLGBTQ	daughtersLGBTQ	Daughters (LGBTQ)	""	""	""	""	https://homosaurus.org/v2/familyMembers	https://homosaurus.org/v2/bisexualDaughters||https://homosaurus.org/v2/daughtersOfBisexualPeople||https://homosaurus.org/v2/daughtersOfGayMen||https://homosaurus.org/v2/daughtersOfLesbians||https://homosaurus.org/v2/daughtersOfQueerPeople||https://homosaurus.org/v2/daughtersOfTransgenderPeople||https://homosaurus.org/v2/lesbianDaughters||https://homosaurus.org/v2/queerDaughters||https://homosaurus.org/v2/transgenderDaughters	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/daughtersLGBTQ	""
https://homosaurus.org/v2/daughtersOfBisexualPeople	daughtersOfBisexualPeople	Daughters of bisexual people	""	""	""	""	https://homosaurus.org/v2/childrenOfBisexualPeople||https://homosaurus.org/v2/childrenOfLGBTQPeople||https://homosaurus.org/v2/daughtersLGBTQ	""	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/daughtersOfBisexualPeople	""
https://homosaurus.org/v2/daughtersOfGayMen	daughtersOfGayMen	Daughters of gay men	""	""	""	""	https://homosaurus.org/v2/childrenOfGayMen||https://homosaurus.org/v2/childrenOfLGBTQPeople||https://homosaurus.org/v2/daughtersLGBTQ	""	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/daughtersOfGayMen	""
https://homosaurus.org/v2/daughtersOfLesbians	daughtersOfLesbians	Daughters of lesbians	""	""	""	""	https://homosaurus.org/v2/childrenOfLesbians||https://homosaurus.org/v2/childrenOfLGBTQPeople||https://homosaurus.org/v2/daughtersLGBTQ	""	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/daughtersOfLesbians	""
https://homosaurus.org/v2/daughtersOfTransgenderPeople	daughtersOfTransgenderPeople	Daughters of transgender people	""	""	""	""	https://homosaurus.org/v2/childrenOfLGBTQPeople||https://homosaurus.org/v2/childrenOfTransgenderPeople||https://homosaurus.org/v2/daughtersLGBTQ	""	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/daughtersOfTransgenderPeople	""
https://homosaurus.org/v2/daughtersOfQueerPeople	daughtersOfQueerPeople	Daughters of queer people	""	""	""	""	https://homosaurus.org/v2/childrenOfLGBTQPeople||https://homosaurus.org/v2/childrenOfQueerPeople||https://homosaurus.org/v2/daughtersLGBTQ	""	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/daughtersOfQueerPeople	""
https://homosaurus.org/v2/deadnaming	deadnaming	Deadnaming	""	""	Referring to a person’s assigned name rather than their chosen name, commonly with malicious intent	""	https://homosaurus.org/v2/antiTransgenderDiscrimination	""	https://homosaurus.org/v2/chosenName||https://homosaurus.org/v2/genderIdentity||https://homosaurus.org/v2/givenName||https://homosaurus.org/v2/misgendering||https://homosaurus.org/v2/outing||https://homosaurus.org/v2/slurs	2019-05-14	2021-09-24	https://homosaurus.org/v2/deadnaming	""
https://homosaurus.org/v2/LGBTQDeafPeople	LGBTQDeafPeople	LGBTQ deaf people	""	Deaf people (LGBTQ)||LGBTQ auditive disabled people||LGBTQ deaf||LGBTQ deaf-mutes	""	""	https://homosaurus.org/v2/LGBTQPeopleWithPhysicalDisabilities	""	""	2019-05-14	2021-09-24	https://homosaurus.org/v2/LGBTQDeafPeople	""
https://homosaurus.org/v2/decadence	decadence	Decadence	""	""	Way of life characterized by mannerisms and affectations marked by excess	""	https://homosaurus.org/v2/subcultures	""	https://homosaurus.org/v2/sexualIdentity	2019-05-14	2021-09-24	https://homosaurus.org/v2/decadence	""
https://homosaurus.org/v2/decriminalisation	decriminalisation	Decriminalisation	""	Decriminalization	Lessening of criminal penalties in relation to certain acts	""	https://homosaurus.org/v2/criminalLaw	""	https://homosaurus.org/v2/civilRightsLGBTQ||https://homosaurus.org/v2/criminalisation	2019-05-14	2021-09-24	https://homosaurus.org/v2/decriminalisation	""
https://homosaurus.org/v2/dee	dee	Dee	""	""	In Thailand, cisgender women who conform to feminine gender norms and who often partner with masculine-identified toms; similar to a femme in U.S. lesbian culture	""	https://homosaurus.org/v2/culturallySpecificGenderIdentities	""	https://homosaurus.org/v2/katoey||https://homosaurus.org/v2/tom	2019-05-14	2021-09-24	https://homosaurus.org/v2/dee	""
https://homosaurus.org/v2/hateSpeech	hateSpeech	Hate speech	""	Defamation against groups||Group defamation||Group libel	""	""	""	""	https://homosaurus.org/v2/hateCrimes||https://homosaurus.org/v2/intoleranceTowardsLGBTQPeople||https://homosaurus.org/v2/LGBTQDefamationCampaigns	2019-05-14	2021-09-24	https://homosaurus.org/v2/hateSpeech	""
https://homosaurus.org/v2/demigenderPeople	demigenderPeople	Demigender people	""	""	People who have a partial connection to a certain gender or the concept of gender	""	https://homosaurus.org/v2/transgenderPeople	""	https://homosaurus.org/v2/genderIdentity	2019-05-14	2021-09-24	https://homosaurus.org/v2/demigenderPeople	""
https://homosaurus.org/v2/demisexuality	demisexuality	Demisexuality	""	""	A sexual orientation generally characterized by lack of sexual attraction to another person unless or until they have formed an emotional connection with that person	""	https://homosaurus.org/v2/sexualOrientation	""	https://homosaurus.org/v2/asexuality||https://homosaurus.org/v2/demisexualPeople||https://homosaurus.org/v2/compulsorySexuality||https://homosaurus.org/v2/megasexuality||https://homosaurus.org/v2/megasexualPeople	2019-05-14	2021-09-24	https://homosaurus.org/v2/demisexuality	""
https://homosaurus.org/v2/demisexualPeople	demisexualPeople	Demisexual people	""	""	People who don’t experience sexual attraction unless they have formed a strong emotional connection with someone 	""	https://homosaurus.org/v2/sexualIdentity||https://homosaurus.org/v2/sexualMinorities||https://homosaurus.org/v2/sexualPreference	""	https://homosaurus.org/v2/asexualPeople||https://homosaurus.org/v2/demisexuality||https://homosaurus.org/v2/LGBTQEmotions||https://homosaurus.org/v2/sexualRelationships||https://homosaurus.org/v2/compulsorySexuality	2019-05-14	2021-09-24	https://homosaurus.org/v2/demisexualPeople	""
https://homosaurus.org/v2/denialOfSexualOrientation	denialOfSexualOrientation	Denial of sexual orientation	""	""	""	""	""	""	https://homosaurus.org/v2/internalisedHomophobia||https://homosaurus.org/v2/latentHomosexuality||https://homosaurus.org/v2/LGBTQSelfRepression||https://homosaurus.org/v2/sexualOrientation	2019-05-14	2021-09-24	https://homosaurus.org/v2/denialOfSexualOrientation	""
https://homosaurus.org/v2/dentalDams	dentalDams	Dental dams	""	Latex barriers	""	""	https://homosaurus.org/v2/sexAccessories	""	https://homosaurus.org/v2/saferSex	2019-05-14	2021-09-24	https://homosaurus.org/v2/dentalDams	""
https://homosaurus.org/v2/desireToHaveChildren	desireToHaveChildren	Desire to have children	""	""	""	""	""	""	https://homosaurus.org/v2/children||https://homosaurus.org/v2/ConceptionByLGBTQPeople||https://homosaurus.org/v2/LGBTQFamilyPlanning||https://homosaurus.org/v2/LGBTQParenthood	2019-05-14	2021-09-24	https://homosaurus.org/v2/desireToHaveChildren	""
https://homosaurus.org/v2/detentionOfLGBTQPeople	detentionOfLGBTQPeople	Detention of LGBTQ people	""	""	""	""	""	https://homosaurus.org/v2/arrestsOfLGBTQPeople||https://homosaurus.org/v2/detentionOfLGBTQPeopleUnderAHospital||https://homosaurus.org/v2/LGBTQImprisonment	https://homosaurus.org/v2/legalStatus||https://homosaurus.org/v2/LGBTQImmigrationRights||https://homosaurus.org/v2/LGBTQPrisoners	2019-05-14	2021-09-24	https://homosaurus.org/v2/detentionOfLGBTQPeople	""
https://homosaurus.org/v2/detentionOfLGBTQPeopleUnderAHospital	detentionOfLGBTQPeopleUnderAHospital	Detention of LGBTQ people under a hospital order	""	""	""	""	https://homosaurus.org/v2/detentionOfLGBTQPeople	""	https://homosaurus.org/v2/electroshockTherapy||https://homosaurus.org/v2/mentalHealthCareForLGBTQPeople	2019-05-14	2021-09-24	https://homosaurus.org/v2/detentionOfLGBTQPeopleUnderAHospital	""
