URI	identifier	prefLabel	prefLabel Alternate Spellings	altLabel	description	historyNote	broader	narrower	related	issued	modified	isReplacedBy	replaces
https://homosaurus.org/v3/homoit0000001	homoit0000001	5-alpha reductase deficiency	""	5-ARD	People with 5-alpha reductase deficiency, abbreviated as 5-ARD, have XY chromosomes, testes, and typical levels of testosterone, but their bodies do not have the enzyme responsible for converting testosterone to the more powerful androgen dihydrotestosterone (DHT). This affects how an individual's external sex characteristics develop, and people born with 5-ARD often have genital differences that are noticed at birth. In adolescence, people with 5-ARD typically develop some features associated with testosterone puberty, and they may experience genital growth at this point.	Scope note updated in collaboration with interACT: Advocates for Intersex Youth, 2022-2023.	https://homosaurus.org/v3/homoit0000669	""	""	2019-05-14	2021-12-08	https://homosaurus.org/v3/homoit0000001	http://homosaurus.org/v2/5AlphaReductaseDeficiency
https://homosaurus.org/v3/homoit0000002	homoit0000002	Aboriginal Australian LGBTQ+ people	""	Aboriginal people (LGBTQ)||Aboriginal Australian people (LGBTQ)||LGBTQ+ Aboriginal Australian people||LGBTQ+ Aboriginal Australians||LGBTQ+ Aboriginal people||LGBTQ+ Aboriginals	LGBTQ+ people who belong to one or more of the various Indigenous peoples of Australia; do not use to refer to the Indigenous people of the Torres Strait Islands, who are considered ethnically and culturally distinct. Only use to describe people who identify as Aboriginal Australian.	To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).	https://homosaurus.org/v3/homoit0000886	https://homosaurus.org/v3/homoit0001974||https://homosaurus.org/v3/homoit0001975||https://homosaurus.org/v3/homoit0001976||https://homosaurus.org/v3/homoit0001977||https://homosaurus.org/v3/homoit0001978||https://homosaurus.org/v3/homoit0001979	https://homosaurus.org/v3/homoit0001314||https://homosaurus.org/v3/homoit0001809||https://homosaurus.org/v3/homoit0001810	2019-05-14	2022-01-19	https://homosaurus.org/v3/homoit0000002	http://homosaurus.org/v2/LGBTQAboriginalPeople
https://homosaurus.org/v3/homoit0000003	homoit0000003	Acault	""	""	A commonly mistranslated Burmese term for people assigned male at birth who exhibit feminine behaviors while serving as spiritual mediums; there is some question over the legitimacy of term.	"Although non-English terms are typically assigned language labels indicating the language they originate from, the term ""Acault"" has been assigned the English language label because it is a mistranslated version of a Burmese term."	https://homosaurus.org/v3/homoit0000322	""	""	2019-05-14	2021-12-08	https://homosaurus.org/v3/homoit0000003	http://homosaurus.org/v2/acault
https://homosaurus.org/v3/homoit0000004	homoit0000004	Asexuality	""	Ace	A sexual orientation generally characterized by a lack of sexual attraction or desire.	""	https://homosaurus.org/v3/homoit0001298	""	https://homosaurus.org/v3/homoit0000067||https://homosaurus.org/v3/homoit0000071||https://homosaurus.org/v3/homoit0000807||https://homosaurus.org/v3/homoit0000882||https://homosaurus.org/v3/homoit0001282||https://homosaurus.org/v3/homoit0001493||https://homosaurus.org/v3/homoit0001535||https://homosaurus.org/v3/homoit0001644	2019-05-14	2022-01-27	https://homosaurus.org/v3/homoit0000004	http://homosaurus.org/v2/asexuality
https://homosaurus.org/v3/homoit0000005	homoit0000005	HIV/AIDS	""	Acquired immune deficiency syndrome||AIDS||Acquired immunodeficiency syndrome||HIV||Human immunodeficiency virus	Abbreviation for human immunodeficiency virus (HIV) and acquired immunodeficiency syndrome (AIDS).	""	https://homosaurus.org/v3/homoit0001308	https://homosaurus.org/v3/homoit0000033||https://homosaurus.org/v3/homoit0001980	https://homosaurus.org/v3/homoit0000024||https://homosaurus.org/v3/homoit0000025||https://homosaurus.org/v3/homoit0000026||https://homosaurus.org/v3/homoit0000027||https://homosaurus.org/v3/homoit0000028||https://homosaurus.org/v3/homoit0000029||https://homosaurus.org/v3/homoit0000030||https://homosaurus.org/v3/homoit0000031||https://homosaurus.org/v3/homoit0000032||https://homosaurus.org/v3/homoit0000034||https://homosaurus.org/v3/homoit0000226||https://homosaurus.org/v3/homoit0000634||https://homosaurus.org/v3/homoit0000635||https://homosaurus.org/v3/homoit0000636||https://homosaurus.org/v3/homoit0000637||https://homosaurus.org/v3/homoit0000639||https://homosaurus.org/v3/homoit0000640||https://homosaurus.org/v3/homoit0000686||https://homosaurus.org/v3/homoit0001091||https://homosaurus.org/v3/homoit0001130||https://homosaurus.org/v3/homoit0001981||https://homosaurus.org/v3/[]	2019-05-14	2021-12-08	https://homosaurus.org/v3/homoit0000005	http://homosaurus.org/v2/HIVAIDS
https://homosaurus.org/v3/homoit0000006	homoit0000006	LGBTQ+ activism	""	Activism (LGBTQ)	Direct action and organizing to achieve political or social change and acceptance for LGBTQ+ people.	""	""	https://homosaurus.org/v3/homoit0000122||https://homosaurus.org/v3/homoit0000462||https://homosaurus.org/v3/homoit0000713||https://homosaurus.org/v3/homoit0000853||https://homosaurus.org/v3/homoit0001150||https://homosaurus.org/v3/homoit0001383	https://homosaurus.org/v3/homoit0000007||https://homosaurus.org/v3/homoit0000038||https://homosaurus.org/v3/homoit0000534||https://homosaurus.org/v3/homoit0001319||https://homosaurus.org/v3/[]||https://homosaurus.org/v3/[]||https://homosaurus.org/v3/[]	2019-05-14	2021-12-08	https://homosaurus.org/v3/homoit0000006	http://homosaurus.org/v2/activismLGBTQ
https://homosaurus.org/v3/homoit0000007	homoit0000007	LGBTQ+ activists	""	Political activists (LGBTQ)||Activists (LGBTQ)	LGBTQ+ people who organize or campaign for social, cultural, political, or economic goals and change.	""	https://homosaurus.org/v3/homoit0000915	https://homosaurus.org/v3/homoit0000024||https://homosaurus.org/v3/homoit0000175||https://homosaurus.org/v3/homoit0000518||https://homosaurus.org/v3/homoit0000763||https://homosaurus.org/v3/homoit0001198||https://homosaurus.org/v3/homoit0001434	https://homosaurus.org/v3/homoit0000006||https://homosaurus.org/v3/homoit0001905||https://homosaurus.org/v3/[]	2019-05-14	2021-12-08	https://homosaurus.org/v3/homoit0000007	http://homosaurus.org/v2/activistsLGBTQ
https://homosaurus.org/v3/homoit0000008	homoit0000008	LGBTQ+ actors	""	Actors (LGBTQ)||Actresses (LGBTQ)||LGBTQ actors	LGBTQ+ people who act in stage plays, movies, television shows, broadcasts, or other productions.	""	https://homosaurus.org/v3/homoit0000915	https://homosaurus.org/v3/homoit0001127	https://homosaurus.org/v3/homoit0000816||https://homosaurus.org/v3/[]	2019-05-14	2021-12-08	https://homosaurus.org/v3/homoit0000008	http://homosaurus.org/v2/LGBTQActors
https://homosaurus.org/v3/homoit0000009	homoit0000009	Adoptive parenthood	""	""	The experience of being an adoptive parent to a child or children. An adoptive parent is the person or persons who become permanent parents through adoption with all the responsibilities therein.	""	https://homosaurus.org/v3/homoit0000914	""	https://homosaurus.org/v3/homoit0000451||https://homosaurus.org/v3/homoit0000809	2019-05-14	2021-12-08	https://homosaurus.org/v3/homoit0000009	http://homosaurus.org/v2/adoptiveParenthood
https://homosaurus.org/v3/homoit0000010	homoit0000010	Adoptive parents	""	""	People who have adopted children, either legally or through a social/cultural practice.	""	https://homosaurus.org/v3/[]	""	https://homosaurus.org/v3/homoit0000121||https://homosaurus.org/v3/homoit0000451||https://homosaurus.org/v3/homoit0000809||https://homosaurus.org/v3/homoit0000812	2019-05-14	2021-12-08	https://homosaurus.org/v3/homoit0000010	http://homosaurus.org/v2/adoptiveParents
