URI	identifier	prefLabel	prefLabel Alternate Spellings	altLabel	description	historyNote	broader	narrower	related	issued	modified	isReplacedBy	replaces
https://homosaurus.org/v4/homoit0000001	homoit0000001	5-alpha reductase deficiency@en||Deficiencia de 5-alfa reductasa@es	""	5-ARD@en||5-ARD@es	People with 5-alpha reductase deficiency, abbreviated as 5-ARD, have XY chromosomes, testes, and typical levels of testosterone, but their bodies do not have the enzyme responsible for converting testosterone to the more powerful androgen dihydrotestosterone (DHT). This affects how an individual's external sex characteristics develop, and people born with 5-ARD often have genital differences that are noticed at birth. In adolescence, people with 5-ARD typically develop some features associated with testosterone puberty, and they may experience genital growth at this point.@en||Las personas con deficiencia de 5-alfa reductasa, abreviada como 5-ARD, tienen cromosomas XY, testículos y niveles típicos de testosterona, pero sus cuerpos no tienen la enzima responsable de convertir la testosterona en el andrógeno más potente dihidrotestosterona (DHT). Esto afecta el desarrollo de las características sexuales externas de la persona, y las personas que nacen con 5-ARD suelen presentar diferencias genitales que se notan al nacer. En la adolescencia, las personas con 5-ARD suelen desarrollar algunos rasgos asociados a la pubertad testosterona, y pueden experimentar crecimiento genital en dicho momento.@es	Scope note updated in collaboration with interACT: Advocates for Intersex Youth, 2022-2023.@en	https://homosaurus.org/v4/homoit0000669	""	""	2019-05-14	2021-12-08	https://homosaurus.org/v4/homoit0000001	http://homosaurus.org/v2/5AlphaReductaseDeficiency
https://homosaurus.org/v4/homoit0000002	homoit0000002	Aboriginal Australian LGBTQ+ people@en||Personas LGBTQ+ aborígenes australianas@es	""	Aboriginal people (LGBTQ)@en||Aboriginal Australian people (LGBTQ)@en||LGBTQ+ Aboriginal Australian people@en||LGBTQ+ Aboriginal Australians@en||LGBTQ+ Aboriginal people@en||LGBTQ+ Aboriginals@en||Personas aborígenes australianas (LGBTQ)@es||Personas aborígenes (LGBTQ)@es||Aborígenes australianos LGBTQ+@es||Aborígenes LGBTQ+@es||Personas aborígenes australianas LGBTQ+@es	LGBTQ+ people who belong to one or more of the various Indigenous peoples of Australia; do not use to refer to the Indigenous people of the Torres Strait Islands, who are considered ethnically and culturally distinct. Only use to describe people who identify as Aboriginal Australian.@en||Personas LGBTQ+ que pertenecen a uno o más de los diversos pueblos indígenas de Australia; no para referirse a los pueblos indígenas de las Islas del Estrecho de Torres, que se consideran étnica y culturalmente distintos. Utilícese únicamente para describir a las personas que se autoidentifiquen como aborígenes australianos.@es	To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).@en||Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad racial o étnica seguida de identidad sexual o de género (por ejemplo, lesbianas negras).@es	https://homosaurus.org/v4/homoit0000886	https://homosaurus.org/v4/homoit0001974||https://homosaurus.org/v4/homoit0001975||https://homosaurus.org/v4/homoit0001976||https://homosaurus.org/v4/homoit0001977||https://homosaurus.org/v4/homoit0001978||https://homosaurus.org/v4/homoit0001979||https://homosaurus.org/v4/homoit0002892||https://homosaurus.org/v4/homoit0003393	https://homosaurus.org/v4/homoit0001314||https://homosaurus.org/v4/homoit0001809||https://homosaurus.org/v4/homoit0001810	2019-05-14	2022-01-19	https://homosaurus.org/v4/homoit0000002	http://homosaurus.org/v2/LGBTQAboriginalPeople
https://homosaurus.org/v4/homoit0000003	homoit0000003	Acault@en||Acault@es	""	""	A commonly mistranslated Burmese term for people assigned male at birth who exhibit feminine behaviors while serving as spiritual mediums; there is some question over the legitimacy of term.@en||Un término birmano, comúnmente mal traducido, para personas asignadas al sexo masculino al nacer que exhiben comportamientos femeninos mientras sirven como médiums espirituales; existen dudas sobre la legitimidad del término.@es	"Although non-English terms are typically assigned language labels indicating the language they originate from, the term ""Acault"" has been assigned the English language label because it is a mistranslated version of a Burmese term.@en||Aunque a los términos que no son del inglés se les suelen asignar etiquetas lingüísticas que indican la lengua de la que proceden, al término ""Acault"" se le ha asignado la etiqueta de inglés porque es una versión mal traducida de un término birmano.@es"	https://homosaurus.org/v4/homoit0000322	""	""	2019-05-14	2021-12-08	https://homosaurus.org/v4/homoit0000003	http://homosaurus.org/v2/acault
https://homosaurus.org/v4/homoit0000004	homoit0000004	Asexuality@en||Asexualidad@es	""	Ace@en||Ace@es	A sexual orientation generally characterized by a lack of sexual attraction or desire.@en||Orientación sexual caracterizada generalmente por la falta de atracción o deseo sexual.@es	""	https://homosaurus.org/v4/homoit0001298	""	https://homosaurus.org/v4/homoit0000067||https://homosaurus.org/v4/homoit0000071||https://homosaurus.org/v4/homoit0000807||https://homosaurus.org/v4/homoit0000882||https://homosaurus.org/v4/homoit0001282||https://homosaurus.org/v4/homoit0001493||https://homosaurus.org/v4/homoit0001535||https://homosaurus.org/v4/homoit0001644	2019-05-14	2022-01-27	https://homosaurus.org/v4/homoit0000004	http://homosaurus.org/v2/asexuality
https://homosaurus.org/v4/homoit0000005	homoit0000005	HIV/AIDS@en||VIH/SIDA@es	""	Acquired immune deficiency syndrome@en||AIDS@en||Acquired immunodeficiency syndrome@en||HIV@en||Human immunodeficiency virus@en||SIDA@es||Síndrome de inmunodeficiencia adquirida@es||VIH@es||Virus de inmunodeficiencia humana@es	Abbreviation for human immunodeficiency virus (HIV) and acquired immunodeficiency syndrome (AIDS).@en||Abreviación para el virus de inmunodeficiencia humana (VIH) y síndrome de inmunodeficiencia adquirida (SIDA).@es	""	https://homosaurus.org/v4/homoit0001308	https://homosaurus.org/v4/homoit0000033||https://homosaurus.org/v4/homoit0001980	https://homosaurus.org/v4/homoit0000024||https://homosaurus.org/v4/homoit0000025||https://homosaurus.org/v4/homoit0000026||https://homosaurus.org/v4/homoit0000027||https://homosaurus.org/v4/homoit0000028||https://homosaurus.org/v4/homoit0000029||https://homosaurus.org/v4/homoit0000030||https://homosaurus.org/v4/homoit0000031||https://homosaurus.org/v4/homoit0000032||https://homosaurus.org/v4/homoit0000034||https://homosaurus.org/v4/homoit0000226||https://homosaurus.org/v4/homoit0000634||https://homosaurus.org/v4/homoit0000635||https://homosaurus.org/v4/homoit0000636||https://homosaurus.org/v4/homoit0000637||https://homosaurus.org/v4/homoit0000639||https://homosaurus.org/v4/homoit0000640||https://homosaurus.org/v4/homoit0000686||https://homosaurus.org/v4/homoit0001091||https://homosaurus.org/v4/homoit0001981||https://homosaurus.org/v4/homoit0003129||https://homosaurus.org/v4/homoit0003909	2019-05-14	2021-12-08	https://homosaurus.org/v4/homoit0000005	http://homosaurus.org/v2/HIVAIDS
https://homosaurus.org/v4/homoit0000006	homoit0000006	LGBTQ+ activism@en||Activismo LGBTQ+@es	""	Activism (LGBTQ)@en||Activismo LGBTQ@es||Activismo (LGBTQ)@es	Direct action and organizing to achieve political or social change and acceptance for LGBTQ+ people.@en||Acción directa y organización para lograr cambio político o social y la aceptación de las personas LGBTQ+.@es	""	""	https://homosaurus.org/v4/homoit0000122||https://homosaurus.org/v4/homoit0000462||https://homosaurus.org/v4/homoit0000713||https://homosaurus.org/v4/homoit0000853||https://homosaurus.org/v4/homoit0001150||https://homosaurus.org/v4/homoit0001383||https://homosaurus.org/v4/homoit0002751||https://homosaurus.org/v4/homoit0002758	https://homosaurus.org/v4/homoit0000007||https://homosaurus.org/v4/homoit0000038||https://homosaurus.org/v4/homoit0000534||https://homosaurus.org/v4/homoit0001319||https://homosaurus.org/v4/homoit0002396||https://homosaurus.org/v4/homoit0002656||https://homosaurus.org/v4/homoit0003195||https://homosaurus.org/v4/homoit0003695	2019-05-14	2021-12-08	https://homosaurus.org/v4/homoit0000006	http://homosaurus.org/v2/activismLGBTQ
https://homosaurus.org/v4/homoit0000007	homoit0000007	LGBTQ+ political activists@en||Activistas LGBTQ+@es	""	Political activists (LGBTQ)@en||Activists (LGBTQ)@en||LGBTQ+ activists@en||Activistas (LGBTQ)@es||Activistas políticos (LGBTQ)@es	LGBTQ+ people working to bring about political or social change through public organizing.@en||Personas LGBTQ+ que se organizan o hacen campaña por objetivos y cambios sociales, culturales, políticos o económicos.@es	""	https://homosaurus.org/v4/homoit0000915	https://homosaurus.org/v4/homoit0000024||https://homosaurus.org/v4/homoit0000175||https://homosaurus.org/v4/homoit0000518||https://homosaurus.org/v4/homoit0000763||https://homosaurus.org/v4/homoit0001198||https://homosaurus.org/v4/homoit0001434||https://homosaurus.org/v4/homoit0002803||https://homosaurus.org/v4/homoit0002933	https://homosaurus.org/v4/homoit0000006||https://homosaurus.org/v4/homoit0001905||https://homosaurus.org/v4/homoit0002657	2019-05-14	2021-12-08	https://homosaurus.org/v4/homoit0000007	http://homosaurus.org/v2/activistsLGBTQ
https://homosaurus.org/v4/homoit0000008	homoit0000008	LGBTQ+ actors@en||Actores LGBTQ+@es	""	Actors (LGBTQ)@en||Actresses (LGBTQ)@en||LGBTQ actors@en||Actores LGBTQ@es||Actores (LGBTQ)@es	LGBTQ+ people who act in stage plays, movies, television shows, broadcasts, or other productions.@en||Personas LGBTQ+ que actúan en obras de teatro, películas, programas de televisión, transmisiones u otras producciones.@es	""	https://homosaurus.org/v4/homoit0000915	https://homosaurus.org/v4/homoit0003798	https://homosaurus.org/v4/homoit0000816||https://homosaurus.org/v4/homoit0002142	2019-05-14	2021-12-08	https://homosaurus.org/v4/homoit0000008	http://homosaurus.org/v2/LGBTQActors
https://homosaurus.org/v4/homoit0000009	homoit0000009	Adoptive parenthood@en||Maternidad adoptiva / Paternidad adoptiva@es	""	Maternidad adoptiva@es||Paternidad adoptiva@es	The experience of being an adoptive parent to a child or children. An adoptive parent is the person or persons who become permanent parents through adoption with all the responsibilities therein.@en||La experiencia de ser madre adoptiva o padre adoptivo de un(a) niño(a) o niños(as). Es la persona o las personas que se convierten en madres o padres permanentes mediante la adopción con todas las responsabilidades que ello implica.@es	""	https://homosaurus.org/v4/homoit0000914	""	https://homosaurus.org/v4/homoit0000451||https://homosaurus.org/v4/homoit0000809	2019-05-14	2021-12-08	https://homosaurus.org/v4/homoit0000009	http://homosaurus.org/v2/adoptiveParenthood
https://homosaurus.org/v4/homoit0000010	homoit0000010	Adoptive parents@en||Madres y padres adoptivos@es	""	Padres adoptivos@es||Madres adoptivas@es	People who have adopted children, either legally or through a social/cultural practice.@en||Personas que han adoptado niños, ya sea legalmente o a través de una practica sociocultural.@es	""	https://homosaurus.org/v4/homoit0002372	""	https://homosaurus.org/v4/homoit0000121||https://homosaurus.org/v4/homoit0000451||https://homosaurus.org/v4/homoit0000809||https://homosaurus.org/v4/homoit0000812	2019-05-14	2021-12-08	https://homosaurus.org/v4/homoit0000010	http://homosaurus.org/v2/adoptiveParents
